Date,PX_LAST,PX_INVERSE
2/23/2016,6.5272,0.1532
2/22/2016,6.5218,0.1533
2/19/2016,6.5223,0.1533
2/18/2016,6.5182,0.1534
2/17/2016,6.5285,0.1532
2/16/2016,6.5169,0.1534
2/15/2016,6.4962,0.1539
2/5/2016,6.5743,0.1521
2/4/2016,6.5696,0.1522
2/3/2016,6.577,0.152
2/2/2016,6.5798,0.152
2/1/2016,6.5784,0.152
1/29/2016,6.576,0.1521
1/28/2016,6.5753,0.1521
1/27/2016,6.578,0.152
1/26/2016,6.5826,0.1519
1/25/2016,6.5793,0.152
1/22/2016,6.5788,0.152
1/21/2016,6.58,0.152
1/20/2016,6.5784,0.152
1/19/2016,6.5786,0.152
1/18/2016,6.5788,0.152
1/15/2016,6.5849,0.1519
1/14/2016,6.59,0.1517
1/13/2016,6.5754,0.1521
1/12/2016,6.5729,0.1521
1/11/2016,6.5711,0.1522
1/8/2016,6.5948,0.1516
1/7/2016,6.5929,0.1517
1/6/2016,6.5559,0.1525
1/5/2016,6.5159,0.1535
1/4/2016,6.5335,0.1531
12/31/2015,6.4937,0.154
12/30/2015,6.4899,0.1541
12/29/2015,6.4857,0.1542
12/28/2015,6.4872,0.1541
12/25/2015,6.4759,0.1544
12/24/2015,6.4763,0.1544
12/23/2015,6.4776,0.1544
12/22/2015,6.4785,0.1544
12/21/2015,6.4807,0.1543
12/18/2015,6.4811,0.1543
12/17/2015,6.4837,0.1542
12/16/2015,6.4725,0.1545
12/15/2015,6.4623,0.1547
12/14/2015,6.4591,0.1548
12/11/2015,6.4552,0.1549
12/10/2015,6.4386,0.1553
12/9/2015,6.4281,0.1556
12/8/2015,6.4177,0.1558
12/7/2015,6.4082,0.1561
12/4/2015,6.4026,0.1562
12/3/2015,6.398,0.1563
12/2/2015,6.3987,0.1563
12/1/2015,6.3988,0.1563
11/30/2015,6.3984,0.1563
11/27/2015,6.3945,0.1564
11/26/2015,6.3895,0.1565
11/25/2015,6.3892,0.1565
11/24/2015,6.3889,0.1565
11/23/2015,6.3892,0.1565
11/20/2015,6.3847,0.1566
11/19/2015,6.3828,0.1567
11/18/2015,6.3847,0.1566
11/17/2015,6.3784,0.1568
11/16/2015,6.3702,0.157
11/13/2015,6.3737,0.1569
11/12/2015,6.3691,0.157
11/11/2015,6.3666,0.1571
11/10/2015,6.3617,0.1572
11/9/2015,6.3625,0.1572
11/6/2015,6.3535,0.1574
11/5/2015,6.3461,0.1576
11/4/2015,6.3366,0.1578
11/3/2015,6.3363,0.1578
11/2/2015,6.3373,0.1578
10/30/2015,6.3175,0.1583
10/29/2015,6.3564,0.1573
10/28/2015,6.3585,0.1573
10/27/2015,6.3525,0.1574
10/26/2015,6.3523,0.1574
10/23/2015,6.3506,0.1575
10/22/2015,6.358,0.1573
10/21/2015,6.3492,0.1575
10/20/2015,6.3484,0.1575
10/19/2015,6.3604,0.1572
10/16/2015,6.3538,0.1574
10/15/2015,6.3462,0.1576
10/14/2015,6.3482,0.1575
10/13/2015,6.3412,0.1577
10/12/2015,6.3235,0.1581
10/9/2015,6.3454,0.1576
10/8/2015,6.3534,0.1574
10/1/2015,6.3571,0.1573
9/30/2015,6.3561,0.1573
9/29/2015,6.3638,0.1571
9/28/2015,6.3689,0.157
9/25/2015,6.3745,0.1569
9/24/2015,6.3822,0.1567
9/23/2015,6.3837,0.1566
9/22/2015,6.3762,0.1568
9/21/2015,6.3694,0.157
9/18/2015,6.364,0.1571
9/17/2015,6.3657,0.1571
9/16/2015,6.3709,0.157
9/15/2015,6.3699,0.157
9/14/2015,6.3678,0.157
9/11/2015,6.375,0.1569
9/10/2015,6.3771,0.1568
9/9/2015,6.3782,0.1568
9/8/2015,6.3676,0.157
9/7/2015,6.3659,0.1571
9/2/2015,6.3559,0.1573
9/1/2015,6.3642,0.1571
8/31/2015,6.3762,0.1568
8/28/2015,6.3897,0.1565
8/27/2015,6.4056,0.1561
8/26/2015,6.41,0.156
8/25/2015,6.4127,0.1559
8/24/2015,6.4043,0.1561
8/21/2015,6.3889,0.1565
8/20/2015,6.3894,0.1565
8/19/2015,6.3958,0.1564
8/18/2015,6.3955,0.1564
8/17/2015,6.3948,0.1564
8/14/2015,6.3912,0.1565
8/13/2015,6.3982,0.1563
8/12/2015,6.3858,0.1566
8/11/2015,6.3246,0.1581
8/10/2015,6.2097,0.161
8/7/2015,6.2097,0.161
8/6/2015,6.2097,0.161
8/5/2015,6.2097,0.161
8/4/2015,6.2097,0.161
8/3/2015,6.2097,0.161
7/31/2015,6.2097,0.161
7/30/2015,6.2097,0.161
7/29/2015,6.209,0.1611
7/28/2015,6.2095,0.161
7/27/2015,6.2098,0.161
7/24/2015,6.2095,0.161
7/23/2015,6.2097,0.161
7/22/2015,6.2094,0.161
7/21/2015,6.2095,0.161
7/20/2015,6.2097,0.161
7/17/2015,6.2095,0.161
7/16/2015,6.2095,0.161
7/15/2015,6.2092,0.1611
7/14/2015,6.209,0.1611
7/13/2015,6.2084,0.1611
7/10/2015,6.2094,0.161
7/9/2015,6.2088,0.1611
7/8/2015,6.2091,0.1611
7/7/2015,6.2099,0.161
7/6/2015,6.2092,0.1611
7/3/2015,6.2057,0.1611
7/2/2015,6.2045,0.1612
7/1/2015,6.2016,0.1612
6/30/2015,6.201,0.1613
6/29/2015,6.2088,0.1611
6/26/2015,6.2093,0.161
6/25/2015,6.2092,0.1611
6/24/2015,6.2073,0.1611
6/23/2015,6.2067,0.1611
6/19/2015,6.2094,0.161
6/18/2015,6.2081,0.1611
6/17/2015,6.2095,0.161
6/16/2015,6.2085,0.1611
6/15/2015,6.209,0.1611
6/12/2015,6.2084,0.1611
6/11/2015,6.2067,0.1611
6/10/2015,6.2059,0.1611
6/9/2015,6.2058,0.1611
6/8/2015,6.206,0.1611
6/5/2015,6.203,0.1612
6/4/2015,6.2008,0.1613
6/3/2015,6.1978,0.1613
6/2/2015,6.1982,0.1613
6/1/2015,6.1993,0.1613
5/29/2015,6.1976,0.1614
5/28/2015,6.2011,0.1613
5/27/2015,6.2014,0.1613
5/26/2015,6.2036,0.1612
5/25/2015,6.2021,0.1612
5/22/2015,6.1974,0.1614
5/21/2015,6.1968,0.1614
5/20/2015,6.2037,0.1612
5/19/2015,6.2069,0.1611
5/18/2015,6.2039,0.1612
5/15/2015,6.2065,0.1611
5/14/2015,6.2015,0.1613
5/13/2015,6.2046,0.1612
5/12/2015,6.209,0.1611
5/11/2015,6.2095,0.161
5/8/2015,6.2094,0.161
5/7/2015,6.2068,0.1611
5/6/2015,6.201,0.1613
5/5/2015,6.2063,0.1611
5/4/2015,6.2092,0.1611
4/30/2015,6.2032,0.1612
4/29/2015,6.1993,0.1613
4/28/2015,6.2054,0.1611
4/27/2015,6.2199,0.1608
4/24/2015,6.1947,0.1614
4/23/2015,6.1978,0.1613
4/22/2015,6.1953,0.1614
4/21/2015,6.2017,0.1612
4/20/2015,6.2017,0.1612
4/17/2015,6.1979,0.1613
4/16/2015,6.1968,0.1614
4/15/2015,6.2051,0.1612
4/14/2015,6.2115,0.161
